------------------------------
614e5c1f                                 littlefs-reg2mem.bc                                                        
exercise_cipher_setup: exercise_cipher_setup '==0
mbedtls_md_file: mbedtls_md_file <0
mbedtls_asn1_get_tag: mbedtls_asn1_get_tag <0
mbedtls_gcm_crypt_and_tag: mbedtls_gcm_crypt_and_tag <0
x509_crl_get_version: x509_crl_get_version '==0
asn1_skip_integer: asn1_skip_integer '==0
x509_get_crl_entry_ext: x509_get_crl_entry_ext '==0
mbedtls_x509_crl_parse_file: mbedtls_x509_crl_parse_file <0
rsa_sign_wrap: rsa_sign_wrap <0
ssl_set_handshake_prfs: ssl_set_handshake_prfs <0
mbedtls_ctr_drbg_set_nonce_len: mbedtls_ctr_drbg_set_nonce_len emptyset
x509_attr_descr_from_name: x509_attr_descr_from_name emptyset
mbedtls_asn1_store_named_data: mbedtls_asn1_store_named_data '==0
psa_get_hash_block_size: psa_get_hash_block_size emptyset
mbedtls_x509write_crt_set_validity: mbedtls_x509write_crt_set_validity <0
psa_generate_random: psa_generate_random <0
mbedtls_x509write_crt_set_ns_cert_type: mbedtls_x509write_crt_set_ns_cert_type <0
mbedtls_poly1305_update: mbedtls_poly1305_update emptyset
mbedtls_pk_can_do: mbedtls_pk_can_do emptyset
x509_write_extension: x509_write_extension <0
mbedtls_asn1_write_algorithm_identifier: mbedtls_asn1_write_algorithm_identifier <0
mbedtls_asn1_write_tagged_string: mbedtls_asn1_write_tagged_string <0
psa_tls12_prf_set_seed: psa_tls12_prf_set_seed <0
mbedtls_x509_write_sig: mbedtls_x509_write_sig <0
mbedtls_pem_write_buffer: mbedtls_pem_write_buffer <0
load_file: load_file <0
mbedtls_dhm_parse_dhmfile: mbedtls_dhm_parse_dhmfile <=0
mbedtls_ssl_ciphersuite_uses_ec: mbedtls_ssl_ciphersuite_uses_ec emptyset
mbedtls_dhm_self_test: mbedtls_dhm_self_test >0
mbedtls_ccm_self_test: mbedtls_ccm_self_test >0
mbedtls_hmac_drbg_seed: mbedtls_hmac_drbg_seed <0
psa_tls12_prf_psk_to_ms_set_key: psa_tls12_prf_psk_to_ms_set_key <0
gcm_gen_table: gcm_gen_table <0
mbedtls_asn1_get_alg: mbedtls_asn1_get_alg <0
mbedtls_oid_get_x509_ext_type: mbedtls_oid_get_x509_ext_type <0
mbedtls_hmac_drbg_write_seed_file: mbedtls_hmac_drbg_write_seed_file <0
mbedtls_hmac_drbg_update_seed_file: mbedtls_hmac_drbg_update_seed_file <0
mbedtls_asn1_write_ia5_string: mbedtls_asn1_write_ia5_string <0
net_would_block: net_would_block emptyset
------------------------------
e7471634                                 pidgin-reg2mem.bc                                                          
persistance_write_expired_prekey_profile: persistance_write_expired_prekey_profile <0
persistance_write_expired_client_profile: persistance_write_expired_client_profile <0
persistance_write_client_profile_FILEp: persistance_write_client_profile_FILEp <0
protocol_and_account_to_purple_conversation: protocol_and_account_to_purple_conversation emptyset
protocol_and_account_to_purple_account: protocol_and_account_to_purple_account emptyset
persistance_write_forging_key: persistance_write_forging_key <0
conversation_timestamp: conversation_timestamp emptyset
get_context_instance_to_index: get_context_instance_to_index '==0
create_dialog: create_dialog emptyset
otrv4_client_adapter_privkey_fingerprint: otrv4_client_adapter_privkey_fingerprint '==0
otrng_gtk_ui_make_widget: otrng_gtk_ui_make_widget '==0
otrng_dialog_get_ui_ops: otrng_dialog_get_ui_ops emptyset
otrng_plugin_fingerprint_to_otr_conversation: otrng_plugin_fingerprint_to_otr_conversation <0
otrng_plugin_fingerprints_unload: otrng_plugin_fingerprints_unload emptyset
define_policy: define_policy emptyset
client_conversation_to_plugin_conversation: client_conversation_to_plugin_conversation '==0
otrng_plugin_load: otrng_plugin_load >0
otrng_plugin_context_to_trust: otrng_plugin_context_to_trust emptyset
otrng_plugin_conversation_to_trust: otrng_plugin_conversation_to_trust >=0
otrng_plugin_fingerprint_get_active: otrng_plugin_fingerprint_get_active '==0
timer_fired_cb: timer_fired_cb emptyset
xmlnode_get_next_twin: xmlnode_get_next_twin '==0
otrng_plugin_fingerprints_load: otrng_plugin_fingerprints_load emptyset
otrng_global_state_expired_client_profile_write_to: otrng_global_state_expired_client_profile_write_to '==0
otrl_context_find: otrl_context_find '==0
strlen: strlen emptyset
tooltip_menu_new: tooltip_menu_new '==0
otrng_global_state_generate_prekey_profile: otrng_global_state_generate_prekey_profile '==0
otrng_plugin_conversation_to_protocol_version: otrng_plugin_conversation_to_protocol_version emptyset
otrng_plugin_lookup_prekey_servers_for_self: otrng_plugin_lookup_prekey_servers_for_self >0
otrng_client_get_client_profile: otrng_client_get_client_profile '==0
otrng_global_state_private_key_v4_write_to: otrng_global_state_private_key_v4_write_to '==0
persistance_write_privkey_v4_FILEp: persistance_write_privkey_v4_FILEp <0
otrng_prekey_plugin_peers_unload: otrng_prekey_plugin_peers_unload emptyset
otrng_plugin_fingerprint_v3_to_otr_conversation: otrng_plugin_fingerprint_v3_to_otr_conversation <0
g_hash_table_new: g_hash_table_new '==0
otrng_global_state_private_key_v3_read_from: otrng_global_state_private_key_v3_read_from '==0
purple_accounts_get_handle: purple_accounts_get_handle emptyset
time: time emptyset
otrng_plugin_buddy_is_offline: otrng_plugin_buddy_is_offline emptyset
gdk_pixbuf_new_from_xpm_data: gdk_pixbuf_new_from_xpm_data '==0
persistance_write_fingerprints_v3: persistance_write_fingerprints_v3 <0
otrng_global_state_expired_client_profile_read_from: otrng_global_state_expired_client_profile_read_from '==0
otrng_global_state_instag_generate_into: otrng_global_state_instag_generate_into '==0
timed_trigger_potential_publishing: timed_trigger_potential_publishing emptyset
gtk_hbox_new: gtk_hbox_new '==0
policy_cb: policy_cb emptyset
xmlnode_get_child: xmlnode_get_child '==0
getline: getline <0
strncpy: strncpy emptyset
otrng_client_get: otrng_client_get '==0
get_otrng_client_from_id: get_otrng_client_from_id emptyset
otrng_prekey_plugin_account_unload: otrng_prekey_plugin_account_unload emptyset
g_hash_table_new_full: g_hash_table_new_full '==0
gtk_misc_get_type: gtk_misc_get_type emptyset
xmpp_iq_received: xmpp_iq_received '==0
xmlnode_new_child: xmlnode_new_child '==0
max_message_size_cb: max_message_size_cb emptyset
g_source_remove: g_source_remove '==0
g_list_remove: g_list_remove '==0
otrng_ui_get_ui_ops: otrng_ui_get_ui_ops emptyset
g_hash_table_lookup: g_hash_table_lookup emptyset
g_signal_connect_data: g_signal_connect_data emptyset
otrng_global_state_generate_private_key_v3: otrng_global_state_generate_private_key_v3 '==0
otrng_global_state_fingerprints_v3_write_to: otrng_global_state_fingerprints_v3_write_to '==0
gtk_button_new: gtk_button_new '==0
otrng_global_state_private_key_v3_write_to: otrng_global_state_private_key_v3_write_to '==0
otrng_prekey_plugin_account_load: otrng_prekey_plugin_account_load emptyset
gcry_strerror: gcry_strerror emptyset
g_build_filename: g_build_filename '==0
strchr: strchr '==0
otrng_client_get_our_fingerprint: otrng_client_get_our_fingerprint '==0
fopen: fopen '==0
g_type_class_peek_parent: g_type_class_peek_parent '==0
gtk_dialog_new_with_buttons: gtk_dialog_new_with_buttons '==0
otrng_fingerprint_get_by_username: otrng_fingerprint_get_by_username emptyset
tooltip_menu_get_box: tooltip_menu_get_box emptyset
tooltip_menu_get_gtype: tooltip_menu_get_gtype emptyset
memcmp: memcmp emptyset
otrng_xstrndup: otrng_xstrndup '==0
g_list_prepend: g_list_prepend '==0
gtk_clist_append: gtk_clist_append <0
otrng_fingerprint_add: otrng_fingerprint_add '==0
xmlnode_new: xmlnode_new '==0
g_strdup: g_strdup >=0
receiving_im_msg_cb: receiving_im_msg_cb '==0
otrng_xmalloc_z: otrng_xmalloc_z '==0
persistance_write_prekey_messages: persistance_write_prekey_messages <0
otrng_plugin_context_to_conv: otrng_plugin_context_to_conv emptyset
strtol: strtol '==0
gtk_table_new: gtk_table_new '==0
otrng_global_state_generate_private_key: otrng_global_state_generate_private_key '==0
g_list_append: g_list_append emptyset
purple_account_is_connected: purple_account_is_connected emptyset
gtk_entry_get_text: gtk_entry_get_text '==0
purple_plugin_is_loaded: purple_plugin_is_loaded emptyset
otrng_plugin_conv_to_context: otrng_plugin_conv_to_context '==0
gtk_check_button_new_with_label: gtk_check_button_new_with_label '==0
otrng_client_smp_abort: otrng_client_smp_abort '==0
otrng_gtk_dialog_display_otr_message: otrng_gtk_dialog_display_otr_message <0
gtk_label_new: gtk_label_new '==0
otrng_plugin_unload: otrng_plugin_unload emptyset
g_strdup_printf: g_strdup_printf emptyset
otrng_global_state_generate_forging_key: otrng_global_state_generate_forging_key '==0
persistance_write_fingerprints_v4: persistance_write_fingerprints_v4 <0
g_markup_printf_escaped: g_markup_printf_escaped '==0
purple_conversation_get_name: purple_conversation_get_name '==0
otrng_fingerprint_get_by_fp: otrng_fingerprint_get_by_fp '==0
otrng_init: otrng_init emptyset
gtk_image_menu_item_get_type: gtk_image_menu_item_get_type emptyset
malloc: malloc '==0
purple_account_get_protocol_id: purple_account_get_protocol_id '==0
gtk_scrolled_window_new: gtk_scrolled_window_new '==0
otrng_global_state_prekey_messages_write_to: otrng_global_state_prekey_messages_write_to '==0
otrng_global_state_prekey_profile_write_to: otrng_global_state_prekey_profile_write_to '==0
purple_normalize: purple_normalize '==0
otrng_global_state_private_key_v4_read_from: otrng_global_state_private_key_v4_read_from '==0
otrng_plugin_conversation_copy: otrng_plugin_conversation_copy '==0
gtk_frame_new: gtk_frame_new '==0
gtk_menu_item_new_with_mnemonic: gtk_menu_item_new_with_mnemonic '==0
pidgin_account_option_menu_get_selected: pidgin_account_option_menu_get_selected '==0
otrng_global_state_forging_key_write_to: otrng_global_state_forging_key_write_to '==0
otrng_global_state_new: otrng_global_state_new '==0
purple_conversation_new: purple_conversation_new '==0
gtk_icon_size_from_name: gtk_icon_size_from_name emptyset
gtk_clist_get_row_data: gtk_clist_get_row_data '==0
otrl_privkey_fingerprint: otrl_privkey_fingerprint '==0
otrng_fingerprint_get_current: otrng_fingerprint_get_current '==0
otrng_gtk_dialog_private_key_wait_start: otrng_gtk_dialog_private_key_wait_start '==0
otrng_global_state_prekey_profile_read_from: otrng_global_state_prekey_profile_read_from '==0
otrng_client_query_message: otrng_client_query_message '==0
purple_buddy_get_presence: purple_buddy_get_presence '==0
is_logged_in_cb: is_logged_in_cb '==0
otrng_gtk_ui_get_ui_ops: otrng_gtk_ui_get_ui_ops emptyset
__strdup: __strdup '==0
otrng_global_state_client_profile_write_to: otrng_global_state_client_profile_write_to '==0
otrng_global_state_fingerprints_v4_write_to: otrng_global_state_fingerprints_v4_write_to '==0
otr_error_message_cb: otr_error_message_cb >=0
g_object_new: g_object_new '==0
purple_buddy_get_name: purple_buddy_get_name '==0
otrng_plugin_conv_to_selected_instag: otrng_plugin_conv_to_selected_instag emptyset
g_list_find: g_list_find '==0
protocol_and_account_to_client_id: protocol_and_account_to_client_id emptyset
otrng_gtk_dialog_get_ui_ops: otrng_gtk_dialog_get_ui_ops emptyset
button_pressed: button_pressed emptyset
otrng_plugin_lookup_prekey_servers_for: otrng_plugin_lookup_prekey_servers_for >0
purple_menu_action_new: purple_menu_action_new '==0
gtk_vbox_new: gtk_vbox_new '==0
otrng_prekey_plugin_load: otrng_prekey_plugin_load emptyset
persistance_write_private_keys_v3: persistance_write_private_keys_v3 <0
otrng_prekey_plugin_unload: otrng_prekey_plugin_unload emptyset
otrng_plugin_jabber_lookup_prekey_servers_for: otrng_plugin_jabber_lookup_prekey_servers_for >0
persistance_write_prekey_profile_FILEp: persistance_write_prekey_profile_FILEp <0
get_domain_from_jid: get_domain_from_jid '==0
otrng_client_smp_respond: otrng_client_smp_respond '==0
otrng_plugin_userinfo_to_conv: otrng_plugin_userinfo_to_conv '==0
process_receiving_im: process_receiving_im '==0
otrng_plugin_conversation_new: otrng_plugin_conversation_new '==0
g_malloc: g_malloc '==0
purple_conversation_to_otrng_conversation: purple_conversation_to_otrng_conversation emptyset
otrng_client_get_conversation: otrng_client_get_conversation <0
gtk_image_new_from_stock: gtk_image_new_from_stock '==0
purple_conversation_get_account: purple_conversation_get_account '==0
otr_icon: otr_icon emptyset
otrng_global_state_expired_prekey_profile_read_from: otrng_global_state_expired_prekey_profile_read_from '==0
otrng_prekey_plugin_peers_load: otrng_prekey_plugin_peers_load emptyset
purple_account_to_client_id: purple_account_to_client_id '==0
purple_conversation_to_plugin_conversation: purple_conversation_to_plugin_conversation '==0
otrng_plugin_proto_supports_otr: otrng_plugin_proto_supports_otr emptyset
purple_account_to_otrng_client: purple_account_to_otrng_client emptyset
otrng_plugin_conv_to_selected_context: otrng_plugin_conv_to_selected_context '==0
resent_msg_prefix_cb: resent_msg_prefix_cb >=0
------------------------------
cd77a397                                 zlib-reg2mem.bc                                                            
gzsetparams: gzsetparams <0
gzputs: gzputs <0
gzputc: gzputc <0
gzwrite: gzwrite '==0
uncompress: uncompress <0
adler32_combine64: adler32_combine64 emptyset
gztell: gztell <0
gzfwrite: gzfwrite '==0
gztell64: gztell64 <0
gzclose_w: gzclose_w <0
gzvprintf: gzvprintf <0
gz_comp: gz_comp <0
compressBound: compressBound emptyset
compress: compress <0
gzclose: gzclose <0
inflateCodesUsed: inflateCodesUsed <0
inflateValidate: inflateValidate <0
gz_write: gz_write '==0
inflateCopy: inflateCopy <0
uncompress2: uncompress2 <0
inflateSync: inflateSync <0
syncsearch: syncsearch emptyset
inflateGetHeader: inflateGetHeader <0
inflateSetDictionary: inflateSetDictionary <0
inflatePrime: inflatePrime <0
gf2_matrix_times: gf2_matrix_times emptyset
inflateBack: inflateBack <0
gzflush: gzflush <0
inflateBackEnd: inflateBackEnd <0
gzclose_r: gzclose_r <0
get_crc_table: get_crc_table emptyset
inflateEnd: inflateEnd <0
gzdirect: gzdirect '==0
gzgets: gzgets '==0
adler32_combine: adler32_combine emptyset
gzungetc: gzungetc <0
inflateBackInit_: inflateBackInit_ <0
gzgetc_: gzgetc_ <0
gzfread: gzfread '==0
gzseek64: gzseek64 <0
gzread: gzread <0
gz_read: gz_read '==0
gzgetc: gzgetc <0
zcalloc: zcalloc '==0
inflateGetDictionary: inflateGetDictionary <0
deflateInit2_: deflateInit2_ <0
deflateReset: deflateReset <0
gzoffset: gzoffset <0
inflateInit_: inflateInit_ <0
deflateResetKeep: deflateResetKeep <0
gzrewind: gzrewind <0
compress2: compress2 <0
crc32: crc32 emptyset
deflateEnd: deflateEnd <0
gzprintf: gzprintf <0
crc32_z: crc32_z emptyset
gz_init: gz_init <0
_IO_putc: _IO_putc <0
lseek64: lseek64 <0
strlen: strlen emptyset
deflateGetDictionary: deflateGetDictionary <0
deflatePending: deflatePending <0
memcmp: memcmp emptyset
strerror: strerror emptyset
gzeof: gzeof emptyset
read_buf: read_buf emptyset
crc32_big: crc32_big emptyset
inflateMark: inflateMark emptyset
zError: zError emptyset
malloc: malloc '==0
deflate: deflate <0
deflateStateCheck: deflateStateCheck emptyset
memchr: memchr '==0
build_bl_tree: build_bl_tree >0
gz_load: gz_load <0
adler32_z: adler32_z emptyset
inflateStateCheck: inflateStateCheck emptyset
read: read <0
gzerror: gzerror emptyset
open: open <0
gzbuffer: gzbuffer <0
gz_fetch: gz_fetch <0
snprintf: snprintf <0
gzopen64: gzopen64 '==0
deflateInit_: deflateInit_ <0
fprintf: fprintf <0
crc32_little: crc32_little emptyset
inflateReset: inflateReset <0
gz_open: gz_open '==0
write: write <0
gzdopen: gzdopen '==0
vsnprintf: vsnprintf <0
deflateSetDictionary: deflateSetDictionary <0
gzopen: gzopen '==0
close: close <0
detect_data_type: detect_data_type emptyset
inflateSyncPoint: inflateSyncPoint <0
adler32: adler32 emptyset
deflatePrime: deflatePrime <0
deflateParams: deflateParams <0
zlibCompileFlags: zlibCompileFlags emptyset
deflateTune: deflateTune <0
inflateInit2_: inflateInit2_ <0
deflateCopy: deflateCopy <0
gzoffset64: gzoffset64 <0
main: main emptyset
zlibVersion: zlibVersion emptyset
inflateResetKeep: inflateResetKeep <0
gz_avail: gz_avail <0
gzseek: gzseek <0
deflateSetHeader: deflateSetHeader <0
gz_look: gz_look <0
bi_reverse: bi_reverse emptyset
deflateBound: deflateBound emptyset
inflate_table: inflate_table <0
inflate: inflate <0
deflate_huff: deflate_huff emptyset
gz_decomp: gz_decomp <0
inflateReset2: inflateReset2 <0
gz_skip: gz_skip <0
------------------------------
4bd676a1                                 openssl-reg2mem.bc                                                         
SSL_get_error: SSL_get_error >0
ssl_write_internal: ssl_write_internal '==0
test_BN_abs_eq_word: test_BN_abs_eq_word '==0
test_BN_odd: test_BN_odd emptyset
convert_bn_memory: convert_bn_memory '==0
test_strn_ne: test_strn_ne '==0
test_strn_eq: test_strn_eq emptyset
test_str_eq: test_str_eq '==0
test_false: test_false emptyset
test_get_option_argument: test_get_option_argument emptyset
test_get_program_name: test_get_program_name emptyset
tap_read_ex: tap_read_ex '==0
global_init: global_init emptyset
BIO_f_tap: BIO_f_tap emptyset
glue_strings: glue_strings emptyset
gcd: gcd emptyset
pulldown_test_framework: pulldown_test_framework emptyset
subtest_level: subtest_level emptyset
kat_nonce: kat_nonce emptyset
kat_entropy: kat_entropy emptyset
single_kat_pr_true: single_kat_pr_true '==0
single_kat_no_reseed: single_kat_no_reseed '==0
test_true: test_true emptyset
openssl_error_cb: openssl_error_cb <=0
test_ptr: test_ptr emptyset
setup_tests: setup_tests emptyset
sk_strcmp: sk_strcmp emptyset
SXNET_get_id_ulong: SXNET_get_id_ulong <0
SXNET_add_id_ulong: SXNET_add_id_ulong '==0
X509_get_proxy_pathlen: X509_get_proxy_pathlen '==0
X509_get_pathlen: X509_get_pathlen <0
tap_new: tap_new emptyset
X509_PURPOSE_get0_sname: X509_PURPOSE_get0_sname emptyset
X509_PURPOSE_get0_name: X509_PURPOSE_get0_name emptyset
X509_PURPOSE_get_id: X509_PURPOSE_get_id emptyset
X509V3_add_standard_extensions: X509V3_add_standard_extensions emptyset
X509V3_EXT_add_alias: X509V3_EXT_add_alias '==0
GENERAL_NAME_get0_value: GENERAL_NAME_get0_value emptyset
X509V3_EXT_REQ_add_nconf: X509V3_EXT_REQ_add_nconf '==0
X509V3_EXT_nconf: X509V3_EXT_nconf >0
do_ext_nconf: do_ext_nconf >0
v3_generic_extension: v3_generic_extension >0
v3_check_generic: v3_check_generic '==0
X509v3_asid_subset: X509v3_asid_subset emptyset
X509v3_asid_inherits: X509v3_asid_inherits emptyset
PROFESSION_INFO_get0_namingAuthority: PROFESSION_INFO_get0_namingAuthority emptyset
ADMISSIONS_get0_namingAuthority: ADMISSIONS_get0_namingAuthority emptyset
ADMISSION_SYNTAX_get0_admissionAuthority: ADMISSION_SYNTAX_get0_admissionAuthority emptyset
NAMING_AUTHORITY_get0_authorityText: NAMING_AUTHORITY_get0_authorityText emptyset
NAMING_AUTHORITY_get0_authorityURL: NAMING_AUTHORITY_get0_authorityURL emptyset
X509v3_addr_validate_resource_set: X509v3_addr_validate_resource_set <=0
X509v3_addr_subset: X509v3_addr_subset '==0
X509_policy_node_get0_policy: X509_policy_node_get0_policy emptyset
X509_policy_level_get0_node: X509_policy_level_get0_node emptyset
X509_policy_level_node_count: X509_policy_level_node_count '==0
X509_policy_tree_get0_level: X509_policy_tree_get0_level emptyset
X509_add1_trust_object: X509_add1_trust_object '==0
X509V3_EXT_add_list: X509V3_EXT_add_list '==0
X509_NAME_get0_der: X509_NAME_get0_der '==0
i2d_PKCS8PrivateKeyInfo_bio: i2d_PKCS8PrivateKeyInfo_bio '==0
i2d_PKCS8PrivateKeyInfo_fp: i2d_PKCS8PrivateKeyInfo_fp '==0
NETSCAPE_SPKI_b64_encode: NETSCAPE_SPKI_b64_encode <0
NETSCAPE_SPKI_set_pubkey: NETSCAPE_SPKI_set_pubkey '==0
X509_NAME_ENTRY_create_by_NID: X509_NAME_ENTRY_create_by_NID emptyset
X509_get_key_usage: X509_get_key_usage emptyset
X509_NAME_add_entry_by_OBJ: X509_NAME_add_entry_by_OBJ '==0
X509_CRL_get_nextUpdate: X509_CRL_get_nextUpdate emptyset
X509_CRL_sort: X509_CRL_sort emptyset
param_cmp: param_cmp emptyset
X509_VERIFY_PARAM_get_depth: X509_VERIFY_PARAM_get_depth emptyset
X509_VERIFY_PARAM_set1_ip_asc: X509_VERIFY_PARAM_set1_ip_asc '==0
X509_VERIFY_PARAM_get_hostflags: X509_VERIFY_PARAM_get_hostflags emptyset
X509_VERIFY_PARAM_get_time: X509_VERIFY_PARAM_get_time emptyset
X509_VERIFY_PARAM_set_inh_flags: X509_VERIFY_PARAM_set_inh_flags emptyset
X509_VERIFY_PARAM_get_inh_flags: X509_VERIFY_PARAM_get_inh_flags emptyset
X509_VERIFY_PARAM_clear_flags: X509_VERIFY_PARAM_clear_flags emptyset
X509_VERIFY_PARAM_set1_name: X509_VERIFY_PARAM_set1_name '==0
X509_STORE_CTX_get_lookup_crls: X509_STORE_CTX_get_lookup_crls emptyset
X509_STORE_CTX_get_lookup_certs: X509_STORE_CTX_get_lookup_certs emptyset
X509_STORE_CTX_get_get_crl: X509_STORE_CTX_get_get_crl emptyset
X509_STORE_CTX_get_check_revocation: X509_STORE_CTX_get_check_revocation emptyset
X509_STORE_CTX_get_check_issued: X509_STORE_CTX_get_check_issued emptyset
X509_STORE_CTX_get_get_issuer: X509_STORE_CTX_get_get_issuer emptyset
get_issuer_sk: get_issuer_sk '==0
X509_STORE_CTX_get_current_cert: X509_STORE_CTX_get_current_cert emptyset
X509_CRL_add0_revoked: X509_CRL_add0_revoked '==0
X509_CRL_set1_nextUpdate: X509_CRL_set1_nextUpdate '==0
X509_CRL_set1_lastUpdate: X509_CRL_set1_lastUpdate '==0
X509_CRL_set_issuer_name: X509_CRL_set_issuer_name '==0
X509_TRUST_get_trust: X509_TRUST_get_trust emptyset
X509_TRUST_get0_name: X509_TRUST_get0_name emptyset
X509_TRUST_get_flags: X509_TRUST_get_flags emptyset
tr_cmp: tr_cmp emptyset
sk_X509_TRUST_push: sk_X509_TRUST_push <0
sk_X509_TRUST_new: sk_X509_TRUST_new <0
X509_getm_notBefore: X509_getm_notBefore emptyset
X509_set1_notBefore: X509_set1_notBefore '==0
X509_set_version: X509_set_version '==0
X509_REQ_add1_attr_by_txt: X509_REQ_add1_attr_by_txt '==0
X509_REQ_add1_attr_by_OBJ: X509_REQ_add1_attr_by_OBJ '==0
X509_REQ_add1_attr: X509_REQ_add1_attr '==0
X509_REQ_add_extensions_nid: X509_REQ_add_extensions_nid '==0
X509_REQ_get_extension_nids: X509_REQ_get_extension_nids emptyset
X509_REQ_set_subject_name: X509_REQ_set_subject_name '==0
X509_set_subject_name: X509_set_subject_name '==0
X509_LOOKUP_meth_set_get_by_issuer_serial: X509_LOOKUP_meth_set_get_by_issuer_serial emptyset
X509_LOOKUP_meth_get_get_by_subject: X509_LOOKUP_meth_get_get_by_subject emptyset
X509_LOOKUP_meth_set_get_by_subject: X509_LOOKUP_meth_set_get_by_subject emptyset
X509_LOOKUP_meth_set_shutdown: X509_LOOKUP_meth_set_shutdown emptyset
X509_LOOKUP_meth_set_free: X509_LOOKUP_meth_set_free emptyset
X509_LOOKUP_meth_set_new_item: X509_LOOKUP_meth_set_new_item emptyset
X509_LOOKUP_meth_new: X509_LOOKUP_meth_new '==0
X509_STORE_get_cleanup: X509_STORE_get_cleanup emptyset
X509_STORE_get_check_policy: X509_STORE_get_check_policy emptyset
X509_STORE_get_check_crl: X509_STORE_get_check_crl emptyset
X509_STORE_get_get_crl: X509_STORE_get_get_crl emptyset
X509_STORE_get_check_revocation: X509_STORE_get_check_revocation emptyset
X509_STORE_get_get_issuer: X509_STORE_get_get_issuer emptyset
X509_STORE_get_verify_cb: X509_STORE_get_verify_cb emptyset
X509_STORE_set_depth: X509_STORE_set_depth emptyset
X509_OBJECT_get_type: X509_OBJECT_get_type emptyset
X509_OBJECT_get0_X509_CRL: X509_OBJECT_get0_X509_CRL emptyset
X509_OBJECT_get0_X509: X509_OBJECT_get0_X509 emptyset
X509_STORE_CTX_get_obj_by_subject: X509_STORE_CTX_get_obj_by_subject emptyset
X509_STORE_up_ref: X509_STORE_up_ref '==0
X509_LOOKUP_get_store: X509_LOOKUP_get_store emptyset
X509_LOOKUP_get_method_data: X509_LOOKUP_get_method_data emptyset
X509_LOOKUP_set_method_data: X509_LOOKUP_set_method_data emptyset
X509_LOOKUP_by_fingerprint: X509_LOOKUP_by_fingerprint '==0
X509_add_ext: X509_add_ext '==0
X509_CRL_add_ext: X509_CRL_add_ext '==0
X509_STORE_set_default_paths: X509_STORE_set_default_paths '==0
X509_STORE_add_lookup: X509_STORE_add_lookup '==0
X509_subject_name_hash_old: X509_subject_name_hash_old emptyset
X509_subject_name_hash: X509_subject_name_hash emptyset
X509_print_ex_fp: X509_print_ex_fp '==0
X509_REQ_print_fp: X509_REQ_print_fp '==0
X509_REQ_get0_pubkey: X509_REQ_get0_pubkey emptyset
X509_REQ_extension_nid: X509_REQ_extension_nid emptyset
X509_REQ_get_X509_PUBKEY: X509_REQ_get_X509_PUBKEY emptyset
X509_CRL_print_fp: X509_CRL_print_fp '==0
X509_STORE_CTX_get0_parent_ctx: X509_STORE_CTX_get0_parent_ctx emptyset
X509_CRL_print_ex: X509_CRL_print_ex emptyset
X509_REVOKED_get0_revocationDate: X509_REVOKED_get0_revocationDate emptyset
X509_REVOKED_get0_serialNumber: X509_REVOKED_get0_serialNumber emptyset
X509_get_default_cert_file_env: X509_get_default_cert_file_env emptyset
X509_LOOKUP_file: X509_LOOKUP_file emptyset
by_dir_hash_cmp: by_dir_hash_cmp emptyset
X509_STORE_CTX_get_check_crl: X509_STORE_CTX_get_check_crl emptyset
X509_load_crl_file: X509_load_crl_file >0
X509_load_cert_file: X509_load_cert_file '==0
X509_STORE_add_cert: X509_STORE_add_cert '==0
X509_LOOKUP_meth_get_shutdown: X509_LOOKUP_meth_get_shutdown emptyset
X509_OBJECT_retrieve_match: X509_OBJECT_retrieve_match emptyset
X509_CRL_match: X509_CRL_match emptyset
X509_LOOKUP_hash_dir: X509_LOOKUP_hash_dir emptyset
ui_dup_method_data: ui_dup_method_data emptyset
UI_UTIL_wrap_read_pem_callback: UI_UTIL_wrap_read_pem_callback '==0
UI_UTIL_read_pw: UI_UTIL_read_pw <0
UI_get_result_maxsize: UI_get_result_maxsize '==0
UI_method_get_data_duplicator: UI_method_get_data_duplicator emptyset
UI_method_get_prompt_constructor: UI_method_get_prompt_constructor emptyset
UI_method_get_closer: UI_method_get_closer emptyset
UI_method_get_opener: UI_method_get_opener emptyset
UI_method_set_prompt_constructor: UI_method_set_prompt_constructor '==0
new_dir: new_dir '==0
UI_method_set_data_duplicator: UI_method_set_data_duplicator <0
UI_method_set_reader: UI_method_set_reader <0
UI_method_set_writer: UI_method_set_writer <0
UI_method_set_opener: UI_method_set_opener <0
UI_get_result_length: UI_get_result_length <0
UI_get_result_string_length: UI_get_result_string_length <0
UI_get0_user_data: UI_get0_user_data emptyset
UI_dup_error_string: UI_dup_error_string <0
UI_dup_input_boolean: UI_dup_input_boolean '==0
UI_dup_verify_string: UI_dup_verify_string <0
UI_dup_input_string: UI_dup_input_string '==0
TXT_DB_insert: TXT_DB_insert '==0
TXT_DB_write: TXT_DB_write <=0
sk_OPENSSL_PSTRING_find: sk_OPENSSL_PSTRING_find <=0
TXT_DB_create_index: TXT_DB_create_index '==0
TXT_DB_get_by_index: TXT_DB_get_by_index '==0
TS_VERIFY_CTX_set_imprint: TS_VERIFY_CTX_set_imprint emptyset
X509_get_default_cert_dir_env: X509_get_default_cert_dir_env emptyset
TS_VERIFY_CTX_set_store: TS_VERIFY_CTX_set_store emptyset
int_ts_RESP_verify_token: int_ts_RESP_verify_token >0
X509_get_ext_d2i: X509_get_ext_d2i <=0
ts_check_imprints: ts_check_imprints >0
