ef786082                                 mbedtls-reg2mem.bc                                                         
oid_x520_attr_from_asn1: oid_x520_attr_from_asn1 emptyset
mbedtls_ecp_point_cmp: mbedtls_ecp_point_cmp emptyset
psa_import_ec_private_key: psa_import_ec_private_key <0
mbedtls_mpi_cmp_abs: mbedtls_mpi_cmp_abs emptyset
recvfrom: recvfrom <0
mbedtls_asn1_write_len: mbedtls_asn1_write_len <0
mbedtls_internal_ripemd160_process: mbedtls_internal_ripemd160_process emptyset
psa_get_key_enrollment_algorithm: psa_get_key_enrollment_algorithm emptyset
derive_mpi: derive_mpi <0
mbedtls_camellia_setkey_enc: mbedtls_camellia_setkey_enc <0
fileno: fileno <0
mbedtls_mpi_sub_abs: mbedtls_mpi_sub_abs <0
mbedtls_ecdsa_verify: mbedtls_ecdsa_verify <0
mbedtls_asn1_get_bitstring_null: mbedtls_asn1_get_bitstring_null <0
mbedtls_ssl_flight_transmit: mbedtls_ssl_flight_transmit <0
mbedtls_rsa_rsassa_pss_verify_ext: mbedtls_rsa_rsassa_pss_verify_ext <0
rnd_pseudo_rand: rnd_pseudo_rand emptyset
socket: socket <0
ecp_modp: ecp_modp <0
mbedtls_x509write_crt_set_extension: mbedtls_x509write_crt_set_extension <0
ecp_mod_p448: ecp_mod_p448 <0
setsockopt: setsockopt <0
mbedtls_sha1_starts_ret: mbedtls_sha1_starts_ret emptyset
psa_rsa_decode_md_type: psa_rsa_decode_md_type <0
mbedtls_mpi_add_abs: mbedtls_mpi_add_abs <0
mbedtls_aes_crypt_cbc: mbedtls_aes_crypt_cbc <0
mpi_miller_rabin: mpi_miller_rabin <0
mbedtls_ctr_drbg_seed: mbedtls_ctr_drbg_seed <0
ecp_double_add_mxz: ecp_double_add_mxz <0
ssl_tls12prf_from_cs: ssl_tls12prf_from_cs emptyset
entropy_dummy_source: entropy_dummy_source emptyset
psa_mac_sign_setup: psa_mac_sign_setup <0
pem_des3_decrypt: pem_des3_decrypt <0
mbedtls_chachapoly_auth_decrypt: mbedtls_chachapoly_auth_decrypt <0
mbedtls_ecc_group_to_psa: mbedtls_ecc_group_to_psa emptyset
psa_key_policy_permits: psa_key_policy_permits emptyset
mbedtls_pkcs5_self_test: mbedtls_pkcs5_self_test >0
mbedtls_aesni_setkey_enc: mbedtls_aesni_setkey_enc <0
mbedtls_ctr_drbg_reseed_internal: mbedtls_ctr_drbg_reseed_internal <0
verify_string: verify_string <0
mbedtls_ssl_out_hdr_len: mbedtls_ssl_out_hdr_len emptyset
eckey_check_pair: eckey_check_pair <0
strtol: strtol '==0
mbedtls_ecp_gen_keypair: mbedtls_ecp_gen_keypair <0
ecp_mul_mxz: ecp_mul_mxz <0
ecp_pick_window_size: ecp_pick_window_size emptyset
mbedtls_ecp_check_privkey: mbedtls_ecp_check_privkey emptyset
mbedtls_mpi_shift_l_mod: mbedtls_mpi_shift_l_mod <0
mbedtls_des3_set3key_dec: mbedtls_des3_set3key_dec emptyset
psa_get_key_bits: psa_get_key_bits emptyset
psa_asymmetric_sign: psa_asymmetric_sign <0
mbedtls_gcm_starts: mbedtls_gcm_starts <0
ecp_normalize_jac: ecp_normalize_jac <0
mbedtls_pkcs12_pbe: mbedtls_pkcs12_pbe <0
ecdsa_verify_wrap: ecdsa_verify_wrap <0
x509_info_cert_type: x509_info_cert_type <0
mbedtls_cipher_setup: mbedtls_cipher_setup <0
ecp_check_pubkey_mx: ecp_check_pubkey_mx emptyset
ecp_precompute_comb: ecp_precompute_comb <0
x509_crt_check_parent: x509_crt_check_parent <0
psa_get_key_from_slot: psa_get_key_from_slot <0
psa_get_key_lifetime: psa_get_key_lifetime emptyset
mpi_montmul: mpi_montmul <0
ssl_load_buffered_record: ssl_load_buffered_record <0
mbedtls_mpi_safe_cond_assign: mbedtls_mpi_safe_cond_assign <0
psa_mac_abort: psa_mac_abort <0
mbedtls_ssl_ciphersuite_uses_psk: mbedtls_ssl_ciphersuite_uses_psk emptyset
mbedtls_chachapoly_update: mbedtls_chachapoly_update <0
ecp_comb_recode_scalar: ecp_comb_recode_scalar <0
mbedtls_clz: mbedtls_clz emptyset
ecp_safe_invert_jac: ecp_safe_invert_jac <0
mbedtls_cipher_update_ad: mbedtls_cipher_update_ad <0
psa_key_derivation_input_bytes: psa_key_derivation_input_bytes <0
ecp_select_comb: ecp_select_comb <0
mbedtls_x509_string_to_names: mbedtls_x509_string_to_names <0
mbedtls_sha512_update_ret: mbedtls_sha512_update_ret emptyset
block_cipher_df: block_cipher_df <0
ftell: ftell <0
ecp_randomize_jac: ecp_randomize_jac <0
mbedtls_x509_serial_gets: mbedtls_x509_serial_gets <0
oid_md_hmac_from_asn1: oid_md_hmac_from_asn1 emptyset
mbedtls_ccm_auth_decrypt: mbedtls_ccm_auth_decrypt <0
mbedtls_ssl_safer_memcmp: mbedtls_ssl_safer_memcmp emptyset
mbedtls_ecp_mul: mbedtls_ecp_mul <0
psa_import_ec_public_key: psa_import_ec_public_key <0
pem_get_iv: pem_get_iv <0
psa_key_derivation_output_bytes: psa_key_derivation_output_bytes <0
mbedtls_ssl_session_save: mbedtls_ssl_session_save <0
fcntl: fcntl <0
mbedtls_cipher_get_iv_size: mbedtls_cipher_get_iv_size emptyset
mbedtls_ecdh_setup: mbedtls_ecdh_setup <0
ssl_parse_truncated_hmac_ext: ssl_parse_truncated_hmac_ext <0
dep_check: dep_check <0
mbedtls_internal_md5_process: mbedtls_internal_md5_process emptyset
mbedtls_oid_get_pkcs12_pbe_alg: mbedtls_oid_get_pkcs12_pbe_alg <0
ssl_compute_master: ssl_compute_master <=0
mbedtls_cipher_set_padding_mode: mbedtls_cipher_set_padding_mode <0
mbedtls_ecp_self_test: mbedtls_ecp_self_test <0
mbedtls_oid_get_sig_alg_desc: mbedtls_oid_get_sig_alg_desc <0
ssl_parse_supported_point_formats_ext: ssl_parse_supported_point_formats_ext <0
mbedtls_pk_sign: mbedtls_pk_sign <0
mbedtls_des_setkey_dec: mbedtls_des_setkey_dec emptyset
mbedtls_des3_crypt_ecb: mbedtls_des3_crypt_ecb emptyset
mbedtls_des3_crypt_cbc: mbedtls_des3_crypt_cbc emptyset
mbedtls_ssl_ep_len: mbedtls_ssl_ep_len emptyset
ssl_parse_client_psk_identity: ssl_parse_client_psk_identity <0
mbedtls_ecp_point_read_string: mbedtls_ecp_point_read_string <0
mbedtls_mpi_lt_mpi_ct: mbedtls_mpi_lt_mpi_ct <0
mbedtls_des_crypt_cbc: mbedtls_des_crypt_cbc emptyset
mbedtls_asn1_write_enum: mbedtls_asn1_write_enum <0
mbedtls_ecp_get_type: mbedtls_ecp_get_type emptyset
mbedtls_aes_setkey_dec: mbedtls_aes_setkey_dec <0
mbedtls_dhm_read_public: mbedtls_dhm_read_public <0
mbedtls_ecp_is_zero: mbedtls_ecp_is_zero emptyset
mbedtls_pk_info_from_type: mbedtls_pk_info_from_type emptyset
psa_copy_key_material: psa_copy_key_material <0
psa_cipher_update: psa_cipher_update <0
mbedtls_mpi_read_string: mbedtls_mpi_read_string <0
oid_pk_alg_from_asn1: oid_pk_alg_from_asn1 emptyset
ssl_write_real: ssl_write_real <0
mbedtls_ssl_get_ciphersuite_id: mbedtls_ssl_get_ciphersuite_id emptyset
mbedtls_ecp_group_load: mbedtls_ecp_group_load <0
mpi_montred: mpi_montred <0
mbedtls_mpi_exp_mod: mbedtls_mpi_exp_mod <0
ccm_auth_crypt: ccm_auth_crypt <0
mbedtls_pk_parse_public_key: mbedtls_pk_parse_public_key <0
psa_mac_finish_internal: psa_mac_finish_internal <0
psa_key_algorithm_permits: psa_key_algorithm_permits emptyset
ssl_check_client_reconnect: ssl_check_client_reconnect <0
mbedtls_rsa_deduce_private_exponent: mbedtls_rsa_deduce_private_exponent <0
chachapoly_pad_aad: chachapoly_pad_aad emptyset
mbedtls_ssl_transform_uses_aead: mbedtls_ssl_transform_uses_aead emptyset
mbedtls_rsa_deduce_crt: mbedtls_rsa_deduce_crt <0
ecp_mod_p224: ecp_mod_p224 <0
mbedtls_mpi_add_int: mbedtls_mpi_add_int <0
x509_get_uid: x509_get_uid '==0
mbedtls_dhm_parse_dhm: mbedtls_dhm_parse_dhm <=0
mbedtls_ssl_cache_set: mbedtls_ssl_cache_set >0
mbedtls_ssl_check_pending: mbedtls_ssl_check_pending '==0
mbedtls_asn1_write_mpi: mbedtls_asn1_write_mpi <0
oid_pkcs12_pbe_alg_from_asn1: oid_pkcs12_pbe_alg_from_asn1 emptyset
psa_key_derivation_setup_kdf: psa_key_derivation_setup_kdf <0
mbedtls_asn1_write_int: mbedtls_asn1_write_int <0
pk_parse_key_pkcs1_der: pk_parse_key_pkcs1_der <0
mbedtls_pkcs12_pbe_sha1_rc4_128: mbedtls_pkcs12_pbe_sha1_rc4_128 <0
psa_prepare_import_ec_key: psa_prepare_import_ec_key <0
mbedtls_x509write_crt_pem: mbedtls_x509write_crt_pem <0
mbedtls_mpi_shift_l: mbedtls_mpi_shift_l <0
mbedtls_mpi_mul_int: mbedtls_mpi_mul_int <0
mbedtls_ssl_handshake: mbedtls_ssl_handshake <0
pk_group_from_specified: pk_group_from_specified <0
x509_crt_verifycrl: x509_crt_verifycrl '==0
hmac_drbg_self_test_entropy: hmac_drbg_self_test_entropy emptyset
mbedtls_asn1_get_int: mbedtls_asn1_get_int <0
mbedtls_rsa_pkcs1_sign: mbedtls_rsa_pkcs1_sign <0
mbedtls_ecdsa_write_signature_restartable: mbedtls_ecdsa_write_signature_restartable <0
check_key_attributes_sanity: check_key_attributes_sanity '==0
time: time emptyset
mbedtls_dhm_calc_secret: mbedtls_dhm_calc_secret <0
ssl_load_buffered_message: ssl_load_buffered_message <0
ccm_aes_setkey_wrap: ccm_aes_setkey_wrap <0
mbedtls_rsa_public: mbedtls_rsa_public <0
mbedtls_pk_rsa: mbedtls_pk_rsa emptyset
mbedtls_asn1_write_bitstring: mbedtls_asn1_write_bitstring <0
mbedtls_ctr_drbg_self_test: mbedtls_ctr_drbg_self_test >0
mbedtls_mpi_sub_mod: mbedtls_mpi_sub_mod <0
mbedtls_asn1_get_bitstring: mbedtls_asn1_get_bitstring <0
psa_mac_sign_finish: psa_mac_sign_finish <0
psa_hash_update: psa_hash_update <0
psa_internal_export_key: psa_internal_export_key <0
mbedtls_hmac_drbg_self_test: mbedtls_hmac_drbg_self_test >0
pk_get_ecpubkey: pk_get_ecpubkey <0
mbedtls_pk_ec: mbedtls_pk_ec emptyset
pk_parse_key_sec1_der: pk_parse_key_sec1_der <0
des_crypt_ecb_wrap: des_crypt_ecb_wrap emptyset
mbedtls_ecp_check_pubkey: mbedtls_ecp_check_pubkey <0
mbedtls_ssl_ciphersuite_no_pfs: mbedtls_ssl_ciphersuite_no_pfs emptyset
mbedtls_ripemd160_starts_ret: mbedtls_ripemd160_starts_ret emptyset
ecp_mod_p384: ecp_mod_p384 <0
mbedtls_des3_set2key_enc: mbedtls_des3_set2key_enc emptyset
pk_get_pk_alg: pk_get_pk_alg <0
mbedtls_md_setup: mbedtls_md_setup <0
mbedtls_base64_decode: mbedtls_base64_decode <0
mbedtls_ssl_set_client_transport_id: mbedtls_ssl_set_client_transport_id <0
mbedtls_x509write_crt_set_issuer_name: mbedtls_x509write_crt_set_issuer_name <0
mbedtls_mpi_cmp_int: mbedtls_mpi_cmp_int emptyset
mbedtls_sha256_starts_ret: mbedtls_sha256_starts_ret emptyset
ctr_drbg_update_internal: ctr_drbg_update_internal <0
read: read <0
x509_get_key_usage: x509_get_key_usage <0
mbedtls_asn1_get_alg_null: mbedtls_asn1_get_alg_null <0
mbedtls_x509write_crt_set_basic_constraints: mbedtls_x509write_crt_set_basic_constraints <0
psa_get_key_usage_flags: psa_get_key_usage_flags emptyset
mbedtls_sha256_finish_ret: mbedtls_sha256_finish_ret emptyset
ssl_buffer_make_space: ssl_buffer_make_space <0
mbedtls_ssl_get_key_exchange_md_tls1_2: mbedtls_ssl_get_key_exchange_md_tls1_2 <0
mbedtls_x509write_crt_set_subject_name: mbedtls_x509write_crt_set_subject_name <0
mbedtls_ripemd160_update_ret: mbedtls_ripemd160_update_ret emptyset
mbedtls_sha1_update_ret: mbedtls_sha1_update_ret emptyset
hmac_drbg_reseed_core: hmac_drbg_reseed_core <0
mbedtls_ssl_ticket_write: mbedtls_ssl_ticket_write <0
mbedtls_ecp_curve_list: mbedtls_ecp_curve_list emptyset
mbedtls_mpi_add_mod: mbedtls_mpi_add_mod <0
mbedtls_ctr_drbg_reseed: mbedtls_ctr_drbg_reseed <0
mbedtls_sha1_finish_ret: mbedtls_sha1_finish_ret emptyset
ssl_populate_transform: ssl_populate_transform <0
x509_write_name: x509_write_name <0
mbedtls_md_finish: mbedtls_md_finish <0
pk_group_id_from_specified: pk_group_id_from_specified <0
pkcs12_pbe_derive_key_iv: pkcs12_pbe_derive_key_iv <0
mbedtls_cipher_write_tag: mbedtls_cipher_write_tag <0
mbedtls_rsa_check_privkey: mbedtls_rsa_check_privkey <0
calloc: calloc '==0
mbedtls_x509_write_names: mbedtls_x509_write_names <0
mbedtls_cipher_setkey: mbedtls_cipher_setkey <0
camellia_setkey_enc_wrap: camellia_setkey_enc_wrap <0
psa_key_derivation_set_capacity: psa_key_derivation_set_capacity <0
mbedtls_net_bind: mbedtls_net_bind <0
mbedtls_pk_write_pubkey: mbedtls_pk_write_pubkey <0
mbedtls_cipher_set_iv: mbedtls_cipher_set_iv <0
strstr: strstr '==0
mbedtls_gcm_update: mbedtls_gcm_update <0
mbedtls_ccm_star_auth_decrypt: mbedtls_ccm_star_auth_decrypt <0
mbedtls_arc4_crypt: mbedtls_arc4_crypt emptyset
mbedtls_ssl_write_change_cipher_spec: mbedtls_ssl_write_change_cipher_spec <0
mbedtls_rsa_validate_crt: mbedtls_rsa_validate_crt <0
mbedtls_hmac_drbg_random_with_add: mbedtls_hmac_drbg_random_with_add <0
mbedtls_hmac_drbg_random: mbedtls_hmac_drbg_random <0
ecdh_calc_secret_internal: ecdh_calc_secret_internal <0
rsa_can_do: rsa_can_do emptyset
fuzz_recv_timeout: fuzz_recv_timeout emptyset
rsa_verify_wrap: rsa_verify_wrap <0
rsa_encrypt_wrap: rsa_encrypt_wrap <0
mbedtls_md_init_ctx: mbedtls_md_init_ctx <0
mbedtls_rsa_check_pub_priv: mbedtls_rsa_check_pub_priv <0
camellia_ctx_alloc: camellia_ctx_alloc '==0
rsa_check_pair_wrap: rsa_check_pair_wrap <0
mbedtls_ssl_get_peer_cert: mbedtls_ssl_get_peer_cert emptyset
get_pkcs_padding: get_pkcs_padding <0
psa_mac_verify_finish: psa_mac_verify_finish <0
get_one_and_zeros_padding: get_one_and_zeros_padding <0
mbedtls_x509_crl_info: mbedtls_x509_crl_info <0
get_zeros_and_len_padding: get_zeros_and_len_padding <0
mbedtls_mpi_cmp_mpi: mbedtls_mpi_cmp_mpi emptyset
mbedtls_ecp_tls_read_group: mbedtls_ecp_tls_read_group <0
mbedtls_mpi_read_file: mbedtls_mpi_read_file <0
chachapoly_ctx_alloc: chachapoly_ctx_alloc '==0
psa_key_agreement_internal: psa_key_agreement_internal <0
mbedtls_x509write_crt_set_subject_key_identifier: mbedtls_x509write_crt_set_subject_key_identifier <0
chacha20_stream_wrap: chacha20_stream_wrap <0
rsa_prepare_blinding: rsa_prepare_blinding <0
des3_crypt_ecb_wrap: des3_crypt_ecb_wrap emptyset
ssl_bitmask_check: ssl_bitmask_check emptyset
mbedtls_rsa_export_crt: mbedtls_rsa_export_crt <0
mbedtls_des3_set3key_enc: mbedtls_des3_set3key_enc emptyset
ssl_context_load: ssl_context_load <0
x509_get_other_name: x509_get_other_name <0
des3_set3key_dec_wrap: des3_set3key_dec_wrap emptyset
mbedtls_x509write_crt_set_authority_key_identifier: mbedtls_x509write_crt_set_authority_key_identifier <0
mbedtls_des_setkey_enc: mbedtls_des_setkey_enc emptyset
mbedtls_md_starts: mbedtls_md_starts <0
des_ctx_alloc: des_ctx_alloc '==0
ccm_camellia_setkey_wrap: ccm_camellia_setkey_wrap <0
ccm_ctx_alloc: ccm_ctx_alloc '==0
gcm_ctx_alloc: gcm_ctx_alloc '==0
mbedtls_ecp_grp_id_list: mbedtls_ecp_grp_id_list emptyset
camellia_crypt_cbc_wrap: camellia_crypt_cbc_wrap <0
mbedtls_mpi_inv_mod: mbedtls_mpi_inv_mod <0
mbedtls_ssl_hash_from_md_alg: mbedtls_ssl_hash_from_md_alg emptyset
mbedtls_camellia_crypt_cfb128: mbedtls_camellia_crypt_cfb128 <0
camellia_crypt_cfb128_wrap: camellia_crypt_cfb128_wrap <0
x509_get_crl_ext: x509_get_crl_ext <=0
psa_export_key: psa_export_key <0
chachapoly_setkey_wrap: chachapoly_setkey_wrap <0
mbedtls_camellia_crypt_ctr: mbedtls_camellia_crypt_ctr <0
camellia_crypt_ctr_wrap: camellia_crypt_ctr_wrap <0
mbedtls_x509_key_size_helper: mbedtls_x509_key_size_helper <0
arc4_setkey_wrap: arc4_setkey_wrap <0
mbedtls_asn1_write_printable_string: mbedtls_asn1_write_printable_string <0
mbedtls_camellia_setkey_dec: mbedtls_camellia_setkey_dec <0
camellia_setkey_dec_wrap: camellia_setkey_dec_wrap <0
dhm_read_bignum: dhm_read_bignum <0
mbedtls_blowfish_crypt_cbc: mbedtls_blowfish_crypt_cbc <0
ssl_get_maximum_datagram_size: ssl_get_maximum_datagram_size emptyset
mbedtls_camellia_crypt_cbc: mbedtls_camellia_crypt_cbc <0
mbedtls_ssl_get_ciphersuite_sig_pk_alg: mbedtls_ssl_get_ciphersuite_sig_pk_alg emptyset
asn1_find_named_data: asn1_find_named_data emptyset
pkcs12_parse_pbe_params: pkcs12_parse_pbe_params <0
mbedtls_blowfish_crypt_cfb64: mbedtls_blowfish_crypt_cfb64 <0
mbedtls_oid_get_md_alg: mbedtls_oid_get_md_alg <0
blowfish_crypt_cfb64_wrap: blowfish_crypt_cfb64_wrap <0
mbedtls_ecp_gen_keypair_base: mbedtls_ecp_gen_keypair_base <0
mbedtls_blowfish_crypt_ctr: mbedtls_blowfish_crypt_ctr <0
stat64: stat64 <0
blowfish_crypt_ctr_wrap: blowfish_crypt_ctr_wrap <0
arc4_crypt_stream_wrap: arc4_crypt_stream_wrap emptyset
gcm_aes_setkey_wrap: gcm_aes_setkey_wrap <0
mbedtls_aes_xts_decode_keys: mbedtls_aes_xts_decode_keys emptyset
rsa_alloc_wrap: rsa_alloc_wrap '==0
ssl_get_remaining_space_in_datagram: ssl_get_remaining_space_in_datagram <0
mbedtls_ssl_renegotiate: mbedtls_ssl_renegotiate <0
query_config: query_config '==0
xts_aes_setkey_enc_wrap: xts_aes_setkey_enc_wrap <0
mbedtls_x509_crt_parse_der_internal: mbedtls_x509_crt_parse_der_internal <0
dhm_check_range: dhm_check_range <0
ssl_parse_session_ticket_ext: ssl_parse_session_ticket_ext <0
mbedtls_cipher_get_cipher_mode: mbedtls_cipher_get_cipher_mode emptyset
ssl_check_key_curve: ssl_check_key_curve emptyset
mbedtls_aes_xts_setkey_dec: mbedtls_aes_xts_setkey_dec <0
xts_aes_setkey_dec_wrap: xts_aes_setkey_dec_wrap <0
xts_aes_ctx_alloc: xts_aes_ctx_alloc '==0
ssl_handshake_init: ssl_handshake_init <0
ssl_check_dtls_clihlo_cookie: ssl_check_dtls_clihlo_cookie <0
aes_crypt_cfb128_wrap: aes_crypt_cfb128_wrap <0
mbedtls_ssl_ciphersuite_cert_req_allowed: mbedtls_ssl_ciphersuite_cert_req_allowed emptyset
x509_get_ns_cert_type: x509_get_ns_cert_type <0
mbedtls_x509_get_sig: mbedtls_x509_get_sig <0
psa_key_derivation_get_capacity: psa_key_derivation_get_capacity <0
mbedtls_oid_get_extended_key_usage: mbedtls_oid_get_extended_key_usage <0
x509_profile_check_md_alg: x509_profile_check_md_alg emptyset
mbedtls_ctr_drbg_update_ret: mbedtls_ctr_drbg_update_ret <0
aes_crypt_ofb_wrap: aes_crypt_ofb_wrap <0
mbedtls_ssl_ticket_setup: mbedtls_ssl_ticket_setup <0
mbedtls_aes_crypt_ctr: mbedtls_aes_crypt_ctr <0
mbedtls_safer_memcmp: mbedtls_safer_memcmp emptyset
mbedtls_ssl_conf_dh_param_ctx: mbedtls_ssl_conf_dh_param_ctx <0
aes_crypt_ctr_wrap: aes_crypt_ctr_wrap <0
aes_setkey_enc_wrap: aes_setkey_enc_wrap <0
psa_initialize_key_slots: psa_initialize_key_slots emptyset
mbedtls_rsa_private: mbedtls_rsa_private <0
mbedtls_ecp_curve_info_from_tls_id: mbedtls_ecp_curve_info_from_tls_id emptyset
aes_setkey_dec_wrap: aes_setkey_dec_wrap <0
aes_ctx_alloc: aes_ctx_alloc '==0
mbedtls_x509write_csr_set_subject_name: mbedtls_x509write_csr_set_subject_name <0
ssl_check_hs_header: ssl_check_hs_header emptyset
mbedtls_entropy_add_source: mbedtls_entropy_add_source emptyset
mbedtls_md_info_from_string: mbedtls_md_info_from_string emptyset
psa_verify_hash: psa_verify_hash <0
mbedtls_base64_encode: mbedtls_base64_encode <0
entropy_gather_internal: entropy_gather_internal <0
eckey_sign_wrap: eckey_sign_wrap <0
mbedtls_entropy_func: mbedtls_entropy_func <0
mbedtls_camellia_self_test: mbedtls_camellia_self_test '==0
mbedtls_platform_entropy_poll: mbedtls_platform_entropy_poll <0
ecdsa_alloc_wrap: ecdsa_alloc_wrap '==0
aes_crypt_xts_wrap: aes_crypt_xts_wrap <0
eckeydh_can_do: eckeydh_can_do emptyset
rsa_alt_get_bitlen: rsa_alt_get_bitlen emptyset
mbedtls_ssl_write_certificate: mbedtls_ssl_write_certificate <0
rsa_alt_can_do: rsa_alt_can_do emptyset
rsa_alt_sign_wrap: rsa_alt_sign_wrap <0
mbedtls_x509_parse_subject_alt_name: mbedtls_x509_parse_subject_alt_name <0
mbedtls_aes_crypt_xts: mbedtls_aes_crypt_xts <0
rsa_alt_decrypt_wrap: rsa_alt_decrypt_wrap <0
mbedtls_rsa_validate_params: mbedtls_rsa_validate_params <0
rsa_alt_check_pair: rsa_alt_check_pair <0
psa_start_key_creation: psa_start_key_creation <0
mbedtls_rsa_import_raw: mbedtls_rsa_import_raw '==0
unhexify: unhexify emptyset
mbedtls_md5_self_test: mbedtls_md5_self_test '==0
zero_alloc: zero_alloc emptyset
mbedtls_x509_csr_info: mbedtls_x509_csr_info <0
unhexify_alloc: unhexify_alloc <0
mbedtls_sha1_self_test: mbedtls_sha1_self_test '==0
hexcmp: hexcmp emptyset
check_test: check_test emptyset
bind: bind <0
get_line: get_line <0
listen: listen <0
test_snprintf: test_snprintf <0
parse_arguments: parse_arguments emptyset
mbedtls_sha512_starts_ret: mbedtls_sha512_starts_ret emptyset
restore_output: restore_output <0
mbedtls_md5_finish_ret: mbedtls_md5_finish_ret emptyset
execute_tests: execute_tests >0
mbedtls_ecdh_read_public: mbedtls_ecdh_read_public <0
mbedtls_aes_crypt_ofb: mbedtls_aes_crypt_ofb <0
mbedtls_platform_setup: mbedtls_platform_setup emptyset
psa_export_public_key: psa_export_public_key <0
mbedtls_ssl_pk_alg_from_sig: mbedtls_ssl_pk_alg_from_sig emptyset
mbedtls_asn1_write_oid: mbedtls_asn1_write_oid <0
mbedtls_rsa_self_test: mbedtls_rsa_self_test !=0
platform_setup: platform_setup emptyset
main: main >0
mbedtls_x509_get_serial: mbedtls_x509_get_serial <0
mbedtls_ssl_handshake_step: mbedtls_ssl_handshake_step <0
oid_sig_alg_from_asn1: oid_sig_alg_from_asn1 emptyset
mbedtls_md_info_from_psa: mbedtls_md_info_from_psa emptyset
mbedtls_oid_get_sig_alg: mbedtls_oid_get_sig_alg <0
mbedtls_cipher_info_from_type: mbedtls_cipher_info_from_type emptyset
mbedtls_x509_crt_parse_file: mbedtls_x509_crt_parse_file <0
mbedtls_md_clone: mbedtls_md_clone <0
mbedtls_asn1_get_bool: mbedtls_asn1_get_bool <0
oid_md_alg_from_asn1: oid_md_alg_from_asn1 emptyset
x509_get_hash_alg: x509_get_hash_alg <0
ssl_parse_server_dh_params: ssl_parse_server_dh_params <0
raw_key_agreement_with_self: raw_key_agreement_with_self <0
mbedtls_x509_get_rsassa_pss_params: mbedtls_x509_get_rsassa_pss_params <0
exercise_key_agreement_key: exercise_key_agreement_key '==0
mbedtls_x509_get_name: mbedtls_x509_get_name <0
mbedtls_md_list: mbedtls_md_list emptyset
ssl_parse_encrypted_pms: ssl_parse_encrypted_pms <0
x509_parse_int: x509_parse_int <0
mbedtls_x509_get_time: mbedtls_x509_get_time <0
mbedtls_x509_get_ext: mbedtls_x509_get_ext <0
x509_get_basic_constraints: x509_get_basic_constraints <0
mbedtls_asn1_get_sequence_of: mbedtls_asn1_get_sequence_of <0
fopen64: fopen64 '==0
x509_get_ext_key_usage: x509_get_ext_key_usage <0
ssl_get_hs_frag_off: ssl_get_hs_frag_off emptyset
psa_aead_setup: psa_aead_setup <0
x509_get_certificate_policies: x509_get_certificate_policies <0
mbedtls_chachapoly_update_aad: mbedtls_chachapoly_update_aad <0
mbedtls_x509_crt_parse_der: mbedtls_x509_crt_parse_der <0
pk_parse_key_pkcs8_encrypted_der: pk_parse_key_pkcs8_encrypted_der <0
mbedtls_ssl_session_copy: mbedtls_ssl_session_copy <0
asn1_get_sequence_of_cb: asn1_get_sequence_of_cb <0
tls_prf_generic: tls_prf_generic <0
ecdh_compute_shared_restartable: ecdh_compute_shared_restartable <0
mbedtls_ctr_drbg_update_seed_file: mbedtls_ctr_drbg_update_seed_file <0
ssl_get_remaining_payload_in_datagram: ssl_get_remaining_payload_in_datagram <0
mbedtls_x509_get_alg_null: mbedtls_x509_get_alg_null '==0
tls_prf_sha256: tls_prf_sha256 <0
mbedtls_ssl_get_ciphersuite_name: mbedtls_ssl_get_ciphersuite_name emptyset
write: write <0
tls_prf_get_type: tls_prf_get_type emptyset
ecp_randomize_mxz: ecp_randomize_mxz <0
mbedtls_ssl_derive_keys: mbedtls_ssl_derive_keys <0
dhm_update_blinding: dhm_update_blinding <0
mbedtls_mpi_read_binary_le: mbedtls_mpi_read_binary_le <0
mbedtls_oid_get_oid_by_pk_alg: mbedtls_oid_get_oid_by_pk_alg <0
mbedtls_ssl_psk_derive_premaster: mbedtls_ssl_psk_derive_premaster <0
mbedtls_cipher_auth_encrypt: mbedtls_cipher_auth_encrypt <0
psa_key_derivation_output_key: psa_key_derivation_output_key <0
mbedtls_ssl_encrypt_buf: mbedtls_ssl_encrypt_buf <0
mbedtls_ssl_get_current_mtu: mbedtls_ssl_get_current_mtu emptyset
mbedtls_ssl_get_max_frag_len: mbedtls_ssl_get_max_frag_len emptyset
mbedtls_ssl_get_record_expansion: mbedtls_ssl_get_record_expansion <0
mbedtls_ssl_write_record: mbedtls_ssl_write_record <0
mbedtls_ssl_write_handshake_msg: mbedtls_ssl_write_handshake_msg <0
mbedtls_ctr_drbg_write_seed_file: mbedtls_ctr_drbg_write_seed_file <0
mbedtls_ssl_resend_hello_request: mbedtls_ssl_resend_hello_request <0
mbedtls_pk_write_pubkey_der: mbedtls_pk_write_pubkey_der <0
mbedtls_x509_dn_gets: mbedtls_x509_dn_gets <0
mbedtls_md_get_name: mbedtls_md_get_name emptyset
mbedtls_x509_sig_alg_gets: mbedtls_x509_sig_alg_gets <0
lifetime_is_secure_element: lifetime_is_secure_element emptyset
x509_crt_check_cn: x509_crt_check_cn emptyset
mbedtls_pk_get_bitlen: mbedtls_pk_get_bitlen emptyset
mbedtls_ctr_drbg_random_with_add: mbedtls_ctr_drbg_random_with_add <0
mbedtls_pkcs5_pbes2: mbedtls_pkcs5_pbes2 <0
mbedtls_oid_get_numeric_string: mbedtls_oid_get_numeric_string <0
x509_info_subject_alt_name: x509_info_subject_alt_name <0
